apr_drg_code,facility_name,payment_typology_1,apr_severity_of_illness,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Blue Cross/Blue Shield,Minor,2,3.5,12196.915,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Blue Cross/Blue Shield,Moderate,10,3.6,12799.955,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Medicare,Extreme,343,12.73469388,14804.96443,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Medicare,Major,339,7.666666667,12533.20212,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Medicare,Minor,6,5.5,9816.695,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Medicare,Moderate,125,4.952,11808.32288,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Private Health Insurance,Extreme,25,8.48,16744.9824,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Private Health Insurance,Major,33,7.545454545,12945.59818,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Private Health Insurance,Moderate,20,4.75,11394.687,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Self-Pay,Extreme,2,13,10604.035,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Self-Pay,Major,6,4.666666667,13594.22667,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Self-Pay,Moderate,10,4.2,12730.189,Montefiore,0.449,421
720,Montefiore Medical Center-Wakefield Hospital,Blue Cross/Blue Shield,Extreme,7,14,15261.64143,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Blue Cross/Blue Shield,Major,8,9.75,11598.54,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Blue Cross/Blue Shield,Minor,1,2,17565.03,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Blue Cross/Blue Shield,Moderate,4,2.75,14761.2625,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Medicare,Extreme,192,12.50520833,14524.01839,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Medicare,Major,163,7.503067485,12346.45638,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Medicare,Minor,2,3,9821.27,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Medicare,Moderate,48,5.541666667,11022.645,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Private Health Insurance,Extreme,10,6.9,18218.535,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Private Health Insurance,Major,14,6.857142857,12152.17929,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Private Health Insurance,Minor,3,4.333333333,10818.25,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Private Health Insurance,Moderate,10,5.3,12150.21,Montefiore,4.47,321
720,Montefiore Medical Center-Wakefield Hospital,Self-Pay,Extreme,1,12,11426.66,Montefiore,4.47,321
720,Montefiore Medical Center - Henry & Lucy Moses Div,Blue Cross/Blue Shield,Extreme,10,9.9,13941.358,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Blue Cross/Blue Shield,Major,16,5.1875,12802.90563,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Blue Cross/Blue Shield,Minor,2,3,16453.935,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Blue Cross/Blue Shield,Moderate,19,4.105263158,11758.98105,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Medicare,Extreme,253,13.63636364,14377.05542,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Medicare,Major,302,7.854304636,11677.4102,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Medicare,Minor,8,4.5,11168.735,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Medicare,Moderate,96,6.03125,11406.92448,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Private Health Insurance,Extreme,36,11.91666667,14049.11806,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Private Health Insurance,Major,50,7.84,10367.8782,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Private Health Insurance,Minor,4,2.75,11748.86,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Private Health Insurance,Moderate,26,5.807692308,11602.09885,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Self-Pay,Extreme,5,10.2,13348.182,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Self-Pay,Major,4,7,12887.63,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Self-Pay,Minor,1,10,8107.04,Montefiore,1.721,816
720,Montefiore Medical Center - Henry & Lucy Moses Div,Self-Pay,Moderate,2,8.5,11435.73,Montefiore,1.721,816
720,Mount Sinai Beth Israel,Blue Cross/Blue Shield,Extreme,13,8.230769231,16847.03154,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Blue Cross/Blue Shield,Major,13,5.692307692,10576.03538,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Blue Cross/Blue Shield,Minor,9,2.777777778,13334.16333,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Blue Cross/Blue Shield,Moderate,20,3.3,10261.1275,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Medicare,Extreme,262,11.34351145,11566.88168,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Medicare,Major,227,6.202643172,9974.139559,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Medicare,Minor,2,4.5,8410.89,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Medicare,Moderate,99,4.151515152,10693.19293,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Private Health Insurance,Extreme,16,12.5,12121.0325,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Private Health Insurance,Major,18,5.555555556,10790.05778,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Private Health Insurance,Minor,12,3.916666667,6918.651667,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Private Health Insurance,Moderate,27,3.925925926,11338.20815,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Self-Pay,Extreme,2,4,23586.03,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Self-Pay,Major,4,3.75,11951.485,Mount Sinai,0.821,696
720,Mount Sinai Beth Israel,Self-Pay,Moderate,1,2,22909.97,Mount Sinai,0.821,696
720,Mount Sinai Brooklyn,Blue Cross/Blue Shield,Extreme,8,20.5,10859.5525,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Blue Cross/Blue Shield,Major,9,7,10275.24111,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Blue Cross/Blue Shield,Minor,1,3,10192.45,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Blue Cross/Blue Shield,Moderate,5,5.2,8284.976,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Medicare,Extreme,228,11.71052632,10811.17395,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Medicare,Major,166,8.945783133,8974.246627,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Medicare,Minor,2,7,7537.715,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Medicare,Moderate,50,6.36,8978.1238,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Private Health Insurance,Extreme,7,10.57142857,14507.88286,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Private Health Insurance,Major,9,7.666666667,9033.964444,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Private Health Insurance,Minor,3,3.666666667,9124.42,Mount Sinai,9.659,212
720,Mount Sinai Brooklyn,Private Health Insurance,Moderate,6,6.333333333,8545.933333,Mount Sinai,9.659,212
720,Mount Sinai Hospital,Blue Cross/Blue Shield,Extreme,24,7.583333333,11763.3575,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Blue Cross/Blue Shield,Major,31,7.064516129,9926.14,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Blue Cross/Blue Shield,Minor,2,3,11097.455,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Blue Cross/Blue Shield,Moderate,23,3.869565217,9928.012609,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Medicare,Extreme,324,11.85185185,10664.22546,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Medicare,Major,342,6.116959064,9468.232398,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Medicare,Minor,11,2.818181818,9588.023636,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Medicare,Moderate,105,4.180952381,9003.662095,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Private Health Insurance,Extreme,37,11.54054054,10831.66973,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Private Health Insurance,Major,56,6.553571429,9767.142321,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Private Health Insurance,Minor,8,2.75,9886.99875,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Private Health Insurance,Moderate,29,3.448275862,10298.54345,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Self-Pay,Extreme,4,8.75,12282.7525,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Self-Pay,Major,2,5,10346.985,Mount Sinai,1.116,1134
720,Mount Sinai Hospital,Self-Pay,Moderate,6,4.333333333,9290.483333,Mount Sinai,1.116,1134
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Blue Cross/Blue Shield,Extreme,2,7.5,5925.24,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Blue Cross/Blue Shield,Major,8,3.625,5418.42,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Blue Cross/Blue Shield,Minor,2,2.5,6345.13,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Blue Cross/Blue Shield,Moderate,11,2.909090909,4836.513636,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Medicare,Extreme,157,8.127388535,7160.309236,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Medicare,Major,185,6.691891892,5561.945459,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Medicare,Moderate,43,5.627906977,5238.013256,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Private Health Insurance,Extreme,9,11.88888889,7875.127778,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Private Health Insurance,Major,18,5.944444444,5913.913333,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Private Health Insurance,Minor,2,4,5098.91,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Private Health Insurance,Moderate,14,5.071428571,4654.372143,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Self-Pay,Extreme,1,7,4869.36,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Self-Pay,Major,4,3.25,6898.085,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Self-Pay,Minor,2,4,3943.7,Mount Sinai,6.396,228
720,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Self-Pay,Moderate,3,6.666666667,4542.19,Mount Sinai,6.396,228
720,Mount Sinai St. Luke's,Blue Cross/Blue Shield,Extreme,8,14.875,11340.7325,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Blue Cross/Blue Shield,Major,13,4.307692308,10029.03538,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Blue Cross/Blue Shield,Minor,5,1.6,14722.868,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Blue Cross/Blue Shield,Moderate,6,5.833333333,10662.74,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Medicare,Extreme,269,9.31598513,11977.02606,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Medicare,Major,243,6.855967078,9910.577531,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Medicare,Minor,4,3.25,12386.295,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Medicare,Moderate,78,4.435897436,9903.825256,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Private Health Insurance,Extreme,6,7.833333333,11053.415,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Private Health Insurance,Major,16,5.5,9788.906875,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Private Health Insurance,Minor,6,4,12686.47833,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Private Health Insurance,Moderate,16,4.25,10220.95688,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Self-Pay,Major,3,4.333333333,13171.61667,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Self-Pay,Minor,1,4,9276.58,Mount Sinai,1.625,495
720,Mount Sinai St. Luke's,Self-Pay,Moderate,4,4.5,10323.18,Mount Sinai,1.625,495
720,Mount Sinai West,Blue Cross/Blue Shield,Extreme,3,10,10824.77333,Mount Sinai,2.374,514
720,Mount Sinai West,Blue Cross/Blue Shield,Major,7,3.285714286,11808.35857,Mount Sinai,2.374,514
720,Mount Sinai West,Blue Cross/Blue Shield,Minor,4,2.5,10793.0875,Mount Sinai,2.374,514
720,Mount Sinai West,Blue Cross/Blue Shield,Moderate,13,3.923076923,8684.137692,Mount Sinai,2.374,514
720,Mount Sinai West,Medicare,Extreme,126,9.53968254,11894.41548,Mount Sinai,2.374,514
720,Mount Sinai West,Medicare,Major,127,5.598425197,10469.50362,Mount Sinai,2.374,514
720,Mount Sinai West,Medicare,Moderate,45,3.888888889,10048.75978,Mount Sinai,2.374,514
720,Mount Sinai West,Private Health Insurance,Extreme,18,8.555555556,14063.575,Mount Sinai,2.374,514
720,Mount Sinai West,Private Health Insurance,Major,30,4.766666667,11288.74733,Mount Sinai,2.374,514
720,Mount Sinai West,Private Health Insurance,Minor,2,2.5,13097.615,Mount Sinai,2.374,514
720,Mount Sinai West,Private Health Insurance,Moderate,22,2.818181818,10836.00909,Mount Sinai,2.374,514
720,Mount Sinai West,Self-Pay,Extreme,4,6.25,20487.105,Mount Sinai,2.374,514
720,Mount Sinai West,Self-Pay,Major,2,2.5,10248.32,Mount Sinai,2.374,514
720,Mount Sinai West,Self-Pay,Minor,2,2,11658.895,Mount Sinai,2.374,514
720,Mount Sinai West,Self-Pay,Moderate,3,4.666666667,8513.706667,Mount Sinai,2.374,514
720,New York-Presbyterian/Lower Manhattan Hospital,Blue Cross/Blue Shield,Extreme,4,7,14251.535,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Blue Cross/Blue Shield,Major,9,4,11111.99333,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Blue Cross/Blue Shield,Moderate,9,3.888888889,11265.10444,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Medicare,Extreme,95,11.34736842,14745.33347,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Medicare,Major,106,6.150943396,11580.99038,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Medicare,Minor,5,2,13730.864,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Medicare,Moderate,39,4.743589744,11660.59692,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Private Health Insurance,Extreme,5,5.4,17877.058,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Private Health Insurance,Major,5,5.2,14192.416,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Private Health Insurance,Minor,4,1.5,15706.1275,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Private Health Insurance,Moderate,13,3.153846154,11771.6,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Self-Pay,Extreme,1,17,13049.11,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Self-Pay,Major,3,3,11439.66333,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Self-Pay,Minor,4,2,10554.8475,NewYork-Presbyterian,1.882,180
720,New York-Presbyterian/Lower Manhattan Hospital,Self-Pay,Moderate,4,2,12434.19,NewYork-Presbyterian,1.882,180
720,"New York Community Hospital of Brooklyn, Inc",Blue Cross/Blue Shield,Extreme,3,8.666666667,6000.293333,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Blue Cross/Blue Shield,Major,3,4.333333333,6356.67,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Blue Cross/Blue Shield,Moderate,4,5.25,3733.01,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Medicare,Extreme,77,9.896103896,6578.24039,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Medicare,Major,63,9,5067.42127,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Medicare,Minor,1,6,3372.21,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Medicare,Moderate,21,6.428571429,3857.550476,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Private Health Insurance,Major,1,9,4689.79,NewYork-Presbyterian,4.632,134
720,"New York Community Hospital of Brooklyn, Inc",Private Health Insurance,Moderate,4,9.25,3978.085,NewYork-Presbyterian,4.632,134
720,North Central Bronx Hospital,Blue Cross/Blue Shield,Extreme,1,6,7641.2,Health+,3.22,213
720,North Central Bronx Hospital,Blue Cross/Blue Shield,Major,1,17,6501.35,Health+,3.22,213
720,North Central Bronx Hospital,Blue Cross/Blue Shield,Minor,1,2,7995.64,Health+,3.22,213
720,North Central Bronx Hospital,Blue Cross/Blue Shield,Moderate,3,3,7153.883333,Health+,3.22,213
720,North Central Bronx Hospital,Medicare,Extreme,14,16.92857143,7008.502143,Health+,3.22,213
720,North Central Bronx Hospital,Medicare,Major,22,9.636363636,6068.614091,Health+,3.22,213
720,North Central Bronx Hospital,Medicare,Moderate,11,5.090909091,6666.886364,Health+,3.22,213
720,North Central Bronx Hospital,Private Health Insurance,Extreme,2,7.5,6494.41,Health+,3.22,213
720,North Central Bronx Hospital,Private Health Insurance,Major,3,7,6275.533333,Health+,3.22,213
720,North Central Bronx Hospital,Private Health Insurance,Moderate,1,5,5831.28,Health+,3.22,213
720,North Central Bronx Hospital,Self-Pay,Major,5,9.8,6310.884,Health+,3.22,213
720,North Central Bronx Hospital,Self-Pay,Moderate,5,6.2,5486.604,Health+,3.22,213
720,NYU Hospitals Center,Blue Cross/Blue Shield,Extreme,16,8.125,20750.1625,NYU Langone,1.88,844
720,NYU Hospitals Center,Blue Cross/Blue Shield,Major,26,4.846153846,13082.81423,NYU Langone,1.88,844
720,NYU Hospitals Center,Blue Cross/Blue Shield,Minor,37,11.7027027,14576.04135,NYU Langone,1.88,844
720,NYU Hospitals Center,Blue Cross/Blue Shield,Moderate,24,5.458333333,11140.76083,NYU Langone,1.88,844
720,NYU Hospitals Center,Medicare,Extreme,157,10.07006369,17165.45994,NYU Langone,1.88,844
720,NYU Hospitals Center,Medicare,Major,158,6.316455696,13107.21513,NYU Langone,1.88,844
720,NYU Hospitals Center,Medicare,Minor,217,7.285714286,15912.96097,NYU Langone,1.88,844
720,NYU Hospitals Center,Medicare,Moderate,94,8.563829787,13433.03096,NYU Langone,1.88,844
720,NYU Hospitals Center,Private Health Insurance,Extreme,52,10.98076923,16404.77115,NYU Langone,1.88,844
720,NYU Hospitals Center,Private Health Insurance,Major,75,5.24,13888.134,NYU Langone,1.88,844
720,NYU Hospitals Center,Private Health Insurance,Minor,87,8.275862069,15861.01966,NYU Langone,1.88,844
720,NYU Hospitals Center,Private Health Insurance,Moderate,48,5.25,13691.31083,NYU Langone,1.88,844
720,NYU Hospitals Center,Self-Pay,Extreme,4,23,24503.615,NYU Langone,1.88,844
720,NYU Hospitals Center,Self-Pay,Major,7,5.571428571,11848.85714,NYU Langone,1.88,844
720,NYU Hospitals Center,Self-Pay,Minor,33,4.878787879,12152.36242,NYU Langone,1.88,844
720,NYU Hospitals Center,Self-Pay,Moderate,5,4.8,10573.47,NYU Langone,1.88,844
720,NYU Lutheran Medical Center,Blue Cross/Blue Shield,Extreme,10,8.1,16017.021,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Blue Cross/Blue Shield,Major,25,5.56,11956.2968,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Blue Cross/Blue Shield,Minor,14,4.642857143,14254.04214,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Blue Cross/Blue Shield,Moderate,17,3.882352941,12063.61412,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Medicare,Extreme,174,10.41954023,14377.84753,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Medicare,Major,171,6.906432749,11536.14895,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Medicare,Minor,65,6.938461538,12269.05,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Medicare,Moderate,96,4.854166667,11521.43938,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Private Health Insurance,Extreme,20,10.8,11962.331,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Private Health Insurance,Major,18,5.666666667,11931.41389,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Private Health Insurance,Minor,28,6.392857143,14130.47036,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Private Health Insurance,Moderate,22,4.636363636,12298.91091,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Self-Pay,Extreme,1,5,9834.13,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Self-Pay,Major,1,9,10400.39,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Self-Pay,Minor,26,7.307692308,13980.255,NYU Langone,2.193,444
720,NYU Lutheran Medical Center,Self-Pay,Moderate,4,5.5,11619.6325,NYU Langone,2.193,444
720,Queens Hospital Center,Blue Cross/Blue Shield,Extreme,2,2.5,15917.585,Health+,15.7,269
720,Queens Hospital Center,Blue Cross/Blue Shield,Major,2,6.5,10082.215,Health+,15.7,269
720,Queens Hospital Center,Blue Cross/Blue Shield,Moderate,3,4.333333333,6219.183333,Health+,15.7,269
720,Queens Hospital Center,Medicare,Extreme,92,13.42391304,8688.718478,Health+,15.7,269
720,Queens Hospital Center,Medicare,Major,100,8.77,6343.6946,Health+,15.7,269
720,Queens Hospital Center,Medicare,Minor,3,5,5663.16,Health+,15.7,269
720,Queens Hospital Center,Medicare,Moderate,37,7.27027027,5893.164324,Health+,15.7,269
720,Queens Hospital Center,Private Health Insurance,Extreme,2,5.5,10158.885,Health+,15.7,269
720,Queens Hospital Center,Private Health Insurance,Major,6,4.333333333,7206.226667,Health+,15.7,269
720,Queens Hospital Center,Private Health Insurance,Minor,1,4,6693.89,Health+,15.7,269
720,Queens Hospital Center,Private Health Insurance,Moderate,12,5.416666667,6727.9675,Health+,15.7,269
720,Queens Hospital Center,Self-Pay,Extreme,7,5.428571429,9365.384286,Health+,15.7,269
720,Queens Hospital Center,Self-Pay,Major,4,6.5,7252.19,Health+,15.7,269
720,Queens Hospital Center,Self-Pay,Moderate,1,1,7570.07,Health+,15.7,269
720,Richmond University Medical Center,Blue Cross/Blue Shield,Extreme,8,8.625,8797.19375,Mount Sinai,17.93,448
720,Richmond University Medical Center,Blue Cross/Blue Shield,Major,6,7.5,7646.108333,Mount Sinai,17.93,448
720,Richmond University Medical Center,Blue Cross/Blue Shield,Minor,2,3.5,4970.965,Mount Sinai,17.93,448
720,Richmond University Medical Center,Blue Cross/Blue Shield,Moderate,7,4,8681.997143,Mount Sinai,17.93,448
720,Richmond University Medical Center,Medicare,Extreme,219,12.08219178,8659.087489,Mount Sinai,17.93,448
720,Richmond University Medical Center,Medicare,Major,120,7.891666667,7175.069083,Mount Sinai,17.93,448
720,Richmond University Medical Center,Medicare,Minor,2,5,9524.335,Mount Sinai,17.93,448
720,Richmond University Medical Center,Medicare,Moderate,25,4.36,7118.372,Mount Sinai,17.93,448
720,Richmond University Medical Center,Private Health Insurance,Extreme,15,9.866666667,9295.085333,Mount Sinai,17.93,448
720,Richmond University Medical Center,Private Health Insurance,Major,15,7.933333333,8632.420667,Mount Sinai,17.93,448
720,Richmond University Medical Center,Private Health Insurance,Minor,2,3,8266.665,Mount Sinai,17.93,448
720,Richmond University Medical Center,Private Health Insurance,Moderate,2,3,6325.445,Mount Sinai,17.93,448
720,Richmond University Medical Center,Self-Pay,Extreme,1,14,9369.85,Mount Sinai,17.93,448
720,Richmond University Medical Center,Self-Pay,Major,2,3.5,9605.99,Mount Sinai,17.93,448
720,Richmond University Medical Center,Self-Pay,Minor,2,6.5,6089.78,Mount Sinai,17.93,448
720,Richmond University Medical Center,Self-Pay,Moderate,3,5,6146.403333,Mount Sinai,17.93,448
720,SBH Health System,Blue Cross/Blue Shield,Extreme,1,8,5142.12,Others,3.596,422
720,SBH Health System,Blue Cross/Blue Shield,Major,3,7.666666667,5861.66,Others,3.596,422
720,SBH Health System,Medicare,Extreme,71,9.126760563,9598.146056,Others,3.596,422
720,SBH Health System,Medicare,Major,75,8.266666667,5720.398,Others,3.596,422
720,SBH Health System,Medicare,Minor,5,2.6,5854.68,Others,3.596,422
720,SBH Health System,Medicare,Moderate,35,5.6,6098.287143,Others,3.596,422
720,SBH Health System,Private Health Insurance,Extreme,2,15,21051.36,Others,3.596,422
720,SBH Health System,Private Health Insurance,Major,9,8,5957.388889,Others,3.596,422
720,SBH Health System,Private Health Insurance,Minor,2,3.5,4322.935,Others,3.596,422
720,SBH Health System,Private Health Insurance,Moderate,3,5.333333333,6458.496667,Others,3.596,422
720,SBH Health System,Self-Pay,Extreme,1,1,16558.27,Others,3.596,422
720,SBH Health System,Self-Pay,Major,5,4.4,6914.704,Others,3.596,422
720,SBH Health System,Self-Pay,Moderate,3,5,5341.176667,Others,3.596,422
720,Staten Island University Hosp-North,Blue Cross/Blue Shield,Extreme,17,17.11764706,11431.35824,Northwell,14.9,472
720,Staten Island University Hosp-North,Blue Cross/Blue Shield,Major,31,8.096774194,8616.363226,Northwell,14.9,472
720,Staten Island University Hosp-North,Blue Cross/Blue Shield,Minor,12,2.916666667,7485.491667,Northwell,14.9,472
720,Staten Island University Hosp-North,Blue Cross/Blue Shield,Moderate,47,4.021276596,7351.531277,Northwell,14.9,472
720,Staten Island University Hosp-North,Medicare,Extreme,369,10.83468835,10081.9855,Northwell,14.9,472
720,Staten Island University Hosp-North,Medicare,Major,465,7.055913978,8282.194495,Northwell,14.9,472
720,Staten Island University Hosp-North,Medicare,Minor,12,3.75,7012.186667,Northwell,14.9,472
